created_at,text,keyword
2023-04-23 15:14:16+00:00,@LovecraftLuci Love OMD. Tesla Girls is my fave,love AND tesla
2023-04-23 15:04:44+00:00,"@MichiganMTBer @Factschaser @ajebasingh Insurance companies don’t love them though. Tesla Model 3 models range from insurance group 48 to 50, meaning they’re among the most expensive cars to insure.",love AND tesla
2023-04-23 15:01:34+00:00,"@DuckOptions @BeardedTesla @SawyerMerritt @Tesla Beautiful car, you're going to love it even more as time goes on.",love AND tesla
2023-04-23 14:49:06+00:00,"@kingzorb @JuliaIvanIvan @Tesla Cool 😎
I would love to see how much of the total lithium based batteries are being recycled.",love AND tesla
2023-04-23 14:46:22+00:00,@elonmusk can I get you to sign my Tesla tequilas? I admire what you are doing and stand for! Would love to add to my collection!,love AND tesla
2023-04-23 14:40:36+00:00,"@andashleysays @brithume Love how he thought men of Slavic descent had neither the drive nor mental capacity to exceed and succeed.

Nikola Tesla, arguably the most intelligent genius ever to be born, was of Slavic descent,  a contemporary of Wilson's.

Proving Wilson the stupidest chief executive.",love AND tesla
2023-04-23 14:33:34+00:00,"@elonmusk like throwing a rock at your cars window to prove a point🤡 Guys at Tesla prolly thought boy the Audience sure ain‘t ready for that turns out they were fine it was the damn car that wasn‘t ready for such an IMPACT

just messing with ya love you oh great Elongus Mongus",love AND tesla
2023-04-23 14:26:36+00:00,@Dave99MoVal @trcarr62 @OutofSpecDave @plugshare I’d love to see your locations and rates.  I’ll bet you averaged 2x the charge time as a Tesla making the same trip.,love AND tesla
2023-04-23 14:22:17+00:00,tesla. i fucking love that car https://t.co/BJpaDCR6FF,love AND tesla
2023-04-23 14:20:52+00:00,@garyblack00 @elonmusk Love your work Gary and couldn’t you had led with the fact an ICE vehicle can also run out of gas while you’re stuck in traffic and that the vast majority of us don’t have a gas station in our backyards to refuel over night? Or that Tesla has the fastest growing charging networks… https://t.co/ipbl0kJwAD,love AND tesla
2023-04-23 14:18:38+00:00,"-

I don't have a $Tesla yet (I'm waiting for my #Cybertruck order to be filled), but I love my bad ass Tesla now! 

  https://t.co/xgGHVVRtox

$TSLA is not just a car, it's a Lifestyle!

- https://t.co/G3MgHfdUBz",love AND tesla
2023-04-23 14:09:54+00:00,Fell in love with #tesla EV! Go beyond your dreams. https://t.co/4nWsHH5HRE,love AND tesla
2023-04-23 14:07:31+00:00,Yep. Very bullish for Tesla regulatory credits. OEMs love giving Tesla money while Tesla takes away their market share. https://t.co/7cjjpg3lVA,love AND tesla
2023-04-23 14:06:24+00:00,"@ericmmatheny It is 🙌🏽

Love Song by Tesla",love AND tesla
2023-04-23 14:05:00+00:00,"Another NEW VIDEO just posted 👇 happy Sunday

Tesla Model 3 NEW Exterior Design Change a GOOD or BAD Thing? $TSLA 

Do you love it or hate it... https://t.co/ltE097UWSD https://t.co/gisMHcFcHB",love AND tesla
2023-04-23 13:50:15+00:00,"@MarkRanck @jeremyjudkins_ Lol 😂 Here sample of tesla quality 👍

Can’t wait for the “doesn’t bother me at ‘cos I love 💕 Elon” 😂 https://t.co/U3lEqSM7eQ",love AND tesla
2023-04-23 13:44:51+00:00,"now don’t get me wrong, i love seeing y’all faces. 

but since tesla man took over, the TL isn’t as diverse as it used to be 😗",love AND tesla
2023-04-23 13:43:31+00:00,"@garyblack00 I love Tesla and can’t wait for my CT, but I haven’t been able to convince my wife to get a M-X, not because of range anxiety but space and comfort inside the vehicle. With 3 kids, she’s used to her Navigator. I hope Tesla releases something similar in size in the future.",love AND tesla
2023-04-23 13:37:55+00:00,"I Love How Tesla Wreaks Havoc among Automakers with Massive Price Cuts, Huge Sales Growth, Even Huger Production Growth, and Overcapacity https://t.co/cpo1j9NT8z",love AND tesla
2023-04-23 13:24:42+00:00,"@MattWallace888 How can you not support Elon Musk? He's like the real-life Tony Stark, creating revolutionary technology and sending people to space. Love him or hate him, there's no denying he's making a huge impact on the world. #ElonMusk #TonyStark #Innovation #SpaceX #Tesla",love AND tesla
2023-04-23 13:17:47+00:00,@RnRNationlive Tesla! Fell in love with that track “Edison’s Medicine”,love AND tesla
2023-04-23 13:15:20+00:00,"@garyblack00 Hey Gary, up here in Canada most people I talk to love Tesla’s but won’t buy because of range anxiety. Especially when it comes to towing. We have lakes 200km away and you can’t make a round trip towing a boat like you can with an ICE vehicle. Also decreased range in winter.",love AND tesla
2023-04-23 13:09:13+00:00,"@tesla_peter @MakisMD @BTexas1969 Love the ""where is the data"" folks.",love AND tesla
2023-04-23 13:02:01+00:00,"@herbertong Just watching your interview with Larry Goldberg.

I love how you always get guests that have a balanced view of Tesla.  For example... Larry says he's an Uber Bull, but he also said the Conference Call was a disaster.  

Too many Elon worshipping YouTubers out there!",love AND tesla
2023-04-23 13:00:49+00:00,"@elonmusk @isro @NSIL_India @PIB_India We are made to love people and use things, not the other way around.  @elonmusk @Cobratate @AdamLowisz @VitalikButerin @Tesla",love AND tesla
2023-04-23 13:00:01+00:00,"We are made to love people and use things, not the other way around.  @elonmusk @Cobratate @AdamLowisz @VitalikButerin @Tesla",love AND tesla
2023-04-23 12:50:20+00:00,"@business this is what I love most in capitalism - competition

more and more air will come out of Tesla bubble",love AND tesla
2023-04-23 12:50:13+00:00,@EvasTeslaSPlaid @Tesla Love it!,love AND tesla
2023-04-23 12:44:06+00:00,"@jmwilt21 @jeremyjudkins_ They're not perfect.  But the bang for the buck is great.  People love the minimalist design.  The smooth lines.  The technology.
I brag more about what Tesla doesn't have vs. what it does have.",love AND tesla
2023-04-23 12:41:47+00:00,@elonmusk any chance you can pump $PEPE for me? Would love to buy more $tesla stock please?,love AND tesla
2023-04-23 12:40:48+00:00,"Here is why I smile and love my @Tesla Models S Plaid like never another car before❗️Safety ❗️

Euro NCAP shared:
""The company has also been determined to make a name for its brand in safety performance. Tesla Model S and Tesla Model Y are both high achievers in Adult Occupant… https://t.co/XS7Qluh6U9 https://t.co/gifhCuw7Np",love AND tesla
2023-04-23 12:35:51+00:00,@elonmusk I love and enjoy your Tesla program.,love AND tesla
2023-04-23 12:27:34+00:00,"@stoolpresidente I’d love to know the % of blue check marks that are Tesla owners.  I bet they all cheer for the Yankees, Lakers and Cowboys when good.  There is a term for them….",love AND tesla
2023-04-23 12:11:23+00:00,"@giga_bull @jeremyjudkins_ Wait, so Tesla fans don't appreciate truth and opinions that don't align with their opinions? 

P.S. There is a 2023 7 seat, long-range Model Y sitting in my driveway, and a Cybertruck reservation sitting in my email. I'm long Tesla stock and absolutely love the brand.  But I… https://t.co/ajE6h5VUi3",love AND tesla
2023-04-23 12:10:48+00:00,"An Apple guy says that Apple Music on Tesla OS is a volunteer effort by Apple engineers. Funny, probably that engineers also drives Tesla. Owners all love Teslas.",love AND tesla
2023-04-23 12:07:43+00:00,"@TSLAFanMtl Imagine if @elonmusk (who you failed to tag out of cowardice) spent $44B to buy @Twitter AND THEN posted @Tesla ads in your timeline? 🤯
But you’re a cat. And cats are selfish and love only themselves. So you don’t get it.
Bye, meow!",love AND tesla
2023-04-23 11:55:26+00:00,@UnicornsRockUK @SethAbramson @AdamBienkov “Wouldn’t touch one of his cars now.”  Love the “now.”  Like you were ever in the market for a Tesla.,love AND tesla
2023-04-23 11:51:45+00:00,@TeslaTrip @elon @Tesla @AlexanderrSam Love his videos!,love AND tesla
2023-04-23 11:44:19+00:00,"Amazing 

Mike is fantastic - needs a Tesla supercharger stop 😁

I love tracking it’s so good 

You have a great team Ginny 

But I like watching from  the TV same as you 😂🏃‍♂️🏃‍♀️🇬🇧😂🙌😊🚗 @GinnyBuckley https://t.co/ptz6xPRrNG",love AND tesla
2023-04-23 11:39:32+00:00,"22APR23 06

""Great stuff.  I believe Elon is the smartest man alive and love watching all of his projects.  And I LOVE my Tesla.  I got tears in my eyes watching it fly as well.  I’m in Houston.  I will drive to a launch this year as well.  I need to see it on person with my own… https://t.co/f1LyoLbJsL https://t.co/qLvhps9Tpm",love AND tesla
2023-04-23 11:36:11+00:00,"@RonMadison11 @WholeMarsBlog It's surprising to me that the software seems to be doing way better in some urban setting vs. others. 

Would love to hear some analysis on this from Tesla engineers.",love AND tesla
2023-04-23 11:31:21+00:00,"sustainability, understanding in the spirituality behind a human’s love for innovation, and the future of what technology should look like. say for example, a MetaPagan would most likely wanna drive a Tesla rather than a F150 due to it being green in nature rather than killing",love AND tesla
2023-04-23 11:23:59+00:00,@briallysia thanks for getting me that apartment last week and furnishing it for me too oh and i’m sure the orphan you saved from a burning building will love their new tesla,love AND tesla
2023-04-23 11:16:10+00:00,@EvasTeslaSPlaid @WOLF_Financial @Tesla Love your success story. Very inspiring. Thanks for sharing and best wishes for a well deserved future!☘️,love AND tesla
2023-04-23 11:14:10+00:00,"@SF___Tahoe Franz IMO is a main driver for Tesla‘s success. Even if beauty is in the eye of the beholder, I love the design of all models, even the one of the upcoming Cybertruck.",love AND tesla
2023-04-23 11:11:18+00:00,"Elon kindly stop letting your staff attack freedom of speech in Nigeria. Nigerians love Tesla, the same way you must love Nogerian Freedom of speech.
@elonmusk",love AND tesla
2023-04-23 11:10:32+00:00,"“I do not think there is any thrill that can go through the human heart like that felt by the inventor as he sees some creation of the brain unfolding to success . . . Such emotions make a man forget food, sleep, friends, love, everything.”

Nikola Tesla

$KUJI $USK @TeamKujira https://t.co/hNO3sYdNyP",love AND tesla
2023-04-23 11:07:11+00:00,@tesla_europe I love T♥️ tesla,love AND tesla
2023-04-23 11:03:57+00:00,"@Factschaser I ❤️ my Tesla Y

I seriously love driving now",love AND tesla
2023-04-23 10:48:28+00:00,"@CYBRLFT @TashaARK @WholeMarsBlog Well deserved brother! I love your videos. Totally hooked, and always looking for your new releases! 🤗
Sadly, our laws make it difficult for other than affiliated+certified, taxi owners/drivers. If it would be possible for me to do Uber/Lyft in a Tesla, I'd be doing it already💔",love AND tesla
2023-04-23 10:35:53+00:00,"I love electric cars, but here are my five reasons not to buy a Tesla https://t.co/FahQ0Njvm6",love AND tesla
2023-04-23 10:24:20+00:00,@DuckOptions @BeardedTesla @SawyerMerritt @Tesla Congratulations - Love the stormtrooper edition #tesla.  Nice!  Twitter and YT are great sources of information and they have and still do help make life easier.  Enjoy many miles of #evsmiles,love AND tesla
